112361,35.583915,-97.460271
112381,35.585513,-97.460391
112351,35.585463,-97.46024
112380,35.583865,-97.459741
112354,35.585424,-97.457127
111940,35.585207,-97.456061
111928,35.585205,-97.455457
111934,35.585395,-97.455455
241022,35.589659,-97.460692
240967,35.591294,-97.460532
112116,35.59212,-97.456395
112114,35.592498,-97.456461
112323,35.5946,-97.45847
111746,35.596785,-97.453381
111937,35.58409,-97.451435
111924,35.586488,-97.45149
112136,35.586395,-97.448973
112161,35.593612,-97.451639
111704,35.595697,-97.447296
111705,35.596553,-97.447268
